AÑO,MES,DE UNIDADES,DE HOSPITALES,DE JUZGADOS,En trabajo por Art. 120 / trabajo extramuro ,DE SALIDA TRANSITORIA,Fugas totales
2016,Enero,4,0,0,0,0,4
2016,Febrero,2,0,0,0,0,2
2016,Marzo,1,0,0,0,0,1
2016,Abril,1,1,0,0,2,4
2016,Mayo,4,0,0,0,2,6
2016,Junio,1,0,0,0,1,2
2016,Julio,0,0,0,0,1,1
2016,Agosto,0,0,0,0,0,0
2016,Setiembre,2,0,0,0,4,6
2016,Octubre,1,0,0,0,2,3
2016,Noviembre,2,0,0,0,3,5
2016,Diciembre,1,0,0,0,3,4
2017,Enero,0,2,0,0,1,3
2017,Febrero,2,0,0,0,0,2
2017,Marzo,1,0,0,0,2,3
2017,Abril,6,0,0,0,0,6
2017,Mayo,1,0,0,0,2,3
2017,Junio,1,0,0,1,2,4
2017,Julio,4,0,0,0,5,9
2017,Agosto,1,0,0,0,0,1
2017,Setiembre,1,1,0,0,1,3
2017,Octubre,4,1,0,0,2,7
2017,Noviembre,3,0,0,0,2,5
2017,Diciembre,5,1,0,0,6,12
2018,Enero,1,0,0,0,5,6
2018,Febrero,4,1,0,0,1,6
2018,Marzo,4,0,0,0,5,9
2018,Abril,3,0,1,0,0,4
2018,Mayo,2,1,0,0,6,9
2018,Junio,0,0,0,0,4,4
2018,Julio,2,1,0,0,1,4
2018,Agosto,5,1,0,0,3,9
2018,Setiembre,8,0,0,0,2,10
2018,Octubre,1,0,0,0,1,2
2018,Noviembre,5,1,0,0,3,9
2018,Diciembre,4,0,0,0,3,7
2019,Enero,0,0,0,0,3,3
2019,Febrero,3,0,0,0,2,5
2019,Marzo,6,0,0,0,1,7
2019,Abril,1,0,0,0,0,1
2019,Mayo,1,0,0,0,0,1
2019,Junio,7,0,0,0,2,9
2019,Julio,4,0,0,0,1,5
2019,Agosto,1,0,0,0,2,3
2019,Setiembre,9,2,0,0,1,12
2019,Octubre,0,0,0,0,3,3
2019,Noviembre,5,0,0,0,3,8
2019,Diciembre,3,1,0,0,2,6
2020,Enero,3,1,0,0,3,7
2020,Febrero,3,0,0,0,1,4
2020,Marzo,7,1,0,0,0,8
2020,Abril,1,0,0,0,0,1
2020,Mayo,7,0,0,0,0,7
2020,Junio,4,0,0,0,0,4
2020,Julio,1,0,0,0,0,1
2020,Agosto,3,0,0,0,2,5
2020,Setiembre,4,0,0,0,0,4
2020,Octubre,4,0,0,0,1,5
2020,Noviembre,5,1,0,0,0,6
2020,Diciembre,3,0,0,0,0,3
2021,Enero,0,1,0,0,1,2
2021,Febrero,3,0,0,0,0,3
2021,Marzo,3,1,0,0,0,4
2021,Abril,3,1,0,1,2,7
2021,Mayo,1,0,0,0,2,3
2021,Junio,3,0,0,0,0,3
2021,Julio,1,0,0,0,0,1
2021,Agosto,1,0,0,0,2,3
2021,Setiembre,1,0,0,0,0,1
2021,Octubre,0,0,0,0,3,3
2021,Noviembre,10,2,0,0,0,12
2021,Diciembre,1,1,0,0,3,5
2022,Enero,3,0,0,0,3,6
2022,Febrero,3,0,0,0,0,3
2022,Marzo,3,0,0,0,1,4
2022,Abril,1,0,0,0,0,1
2022,Mayo,1,0,0,0,1,2
2022,Junio,3,0,0,0,1,4
2022,Julio,0,0,0,0,0,0
2022,Agosto,1,0,0,0,0,1
2022,Setiembre,2,0,0,0,0,2
2022,Octubre,0,0,0,0,1,1
2022,Noviembre,1,0,0,0,0,1
2022,Diciembre,0,0,0,0,0,0
2023,Enero,0,0,0,0,2,2
2023,Febrero,0,0,0,0,0,0
2023,Marzo,1,0,0,0,1,2
2023,Abril,0,0,0,0,0,0
2023,Mayo,3,1,0,0,0,4
2023,Junio,0,0,0,0,1,1
2023,Julio,1,0,0,0,0,1
2023,Agosto,3,1,2,0,0,6
2023,Setiembre,0,0,0,0,0,0
2023,Octubre,0,0,0,0,0,0
2023,Noviembre,0,0,0,0,1,1
2023,Diciembre,0,0,0,0,3,3
2024,Enero,1,0,0,0,1,2
2024,Febrero,1,0,0,0,1,2
2024,Marzo,0,0,0,0,2,2
2024,Abril,1,0,0,0,1,2
2024,Mayo,6,0,0,0,0,6
2024,Junio,3,0,0,0,0,3
2024,Julio,0,0,0,0,0,0
2024,Agosto,1,1,0,0,1,3
2024,Setiembre,2,0,0,0,0,2
2024,Octubre,0,0,0,0,1,1
2024,Noviembre,1,1,0,0,0,2
2024,Diciembre,2,0,0,0,0,2
